Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
12835;12821;Pennello Ovalino Biondo;Oval Blond Brush;"Pennello Ovalino con manico in legno verniciato. 
Pura Setola Bionda professionale.";"Oval brush with painted wood handle. 
Pure blond professional bristle."
12837;12821;Pennello Manico Lungo;Long Handle Brush;"Pennello con manico lungo in legno. 
Pura setola bionda professionale 10mm spessore.";"Brush with long wooden handle. 
Pure blond professional bristles 10 mm thickness."
12838;12821;Rullini Ricambio;Spare Rollers;"Rullini Bianchi riga Gialla in Perlon H pelo 12 mm per pitture e smalti (anche Nitro).&nbsp;- Rullini Bianchi in Spugna Moltoprene di altà qualità, porosità extrafine (no Nitro!). - Rullini Ecrù in tessuto Velour di alta qualità, adatti a tutti gli smalti (anche Nitro). - Rullini Bianchi in Microfibra per pitture fluide, alto potere assorbente. - Manici per rullini da 5, 10 e 15 cm.";Perlon White rollers with Yellow line. Fur height 12 mm. For paints and enamels (incl. Nitro).  - High quality Moltoprene sponge White rollers. Extra thin porosity (no Nitro!).  - High quality Velour Ecrù rollers. Ideal for all enamels (incl. Nitro).  - Microfiber White rollers for fluid varnishes. High soaking power.  - Roller's handles 5, 10 and 15 cm.
12839;12821;Vaschette in Plastica Graduata;Graduated Plastic Trays;Vaschette in Plastica graduata.;Graduated Plastic trays.
12846;12845;Panni Assorbenti Monouso;Disposable Absorbing Pad;"Panni in materiale speciale che assorbono olio e idrocarburi ma non assorbono l'acqua. 
Assorbono 20-30 volte il loro peso in olio o carburante. Si posizionano in sentina, nei vani motore o dovunque vi sia uno spandimento.";Special material pads that soak up oil and fuel but do not absorb water. They absorb 20-30 times their weight of oil or fuel and can be placed into the bilge or engine room. They represent the most effective way to clean up or avoid an oil or fuel spill.
12847;12845;Assorbenti Tubolari;Tubular Absorbents;Manicotti in materiale speciale che assorbe olio e idrocarburi ma repelle l'acqua. Assorbono 20 volte il loro peso in olio o carburante. Si usano in caso di operazioni cambio olio, rifornimento carburante etc, per evitare versamenti in mare o in sentina.;Special material absorbent tubulars that soak up oil and fuel but repel water. They absorb 20 times their weight in oil or fuel. Used when refurnishing fuel or changing oil etc, to avoid fuel/oil loosing into surrounding water.
12848;12845;Assorbente per Sentine Maxi Boom ;Maxi Boom Bilge Absorber;Assorbente per sentine in materiale speciale che assorbe soltanto olio e idrocarburi ma non assorbe l'acqua. Capacità di assorbimento fino a 2 litri. ;"Special material bilge absorber that absorbs only oil and hydrocarbons, but does not absorb water. Absorbing capacity up to 2 liters.
"
12850;12845;Polvere Assorbente Axorb;Axorb Granulated Absorbent;"Assorbente in polvere specifico per liquidi scivolosi come olii e carburanti. 
Si sparge sugli spandimenti di olio e gasolio rimettendo subito in sicurezza ponti di imbarcazioni, pavimenti di officine e sale macchine.";"Granulated absorbent specific for slippery liquids such oils and fuels. 
To be spread on oil and fuel spills immediately restoring safe condition on boat decks, workshops floors and engine rooms.
"
12852;5671;Portachiavi Galleggianti Parabordi Fluo;Fluo Fender Floating Keyring;Portachiavi galleggianti Parabordi Fluo in soffice e robusto PVC.;Soft and tough PVC Fluo Fender floating keyrings.
12853;5671;Portachiavi Galleggianti Banana;Banana Floating Keyring;Portachiavi galleggianti Banana in soffice PVC.;Soft PVC Banana floating keyring.
12855;3233;Cintura di Salvataggio 150N;150N Life Vest ;Cintura di salvataggio compatta da 150N completa di cinghia con fibbia, nastri riflettenti e fischietto. Certificata EN ISO 12402-3 per navigazione da diporto oltre 6 miglia dalla costa. 150N - Per l'uso in mare aperto, anche per persone senza conoscenza.;Compact design 150N life vest with adjustable strap for a snug fit, reflective patches and whistle included. EN ISO 12402-3 certified for pleasure  navigation over 6 miles from coast. 150N - For offshore use even for unconscious people.
12856;3238;Giubbetto Salvagente Antille 100;Antille 100 Lifejacket ;Giubbetto salvagente EN ISO 12402-4 da 100N comodo e vestibile. Approvato per navigazione da diporto entro le 6 miglia dalla costa. Tessuto antistrappo, chiusura a cerniera, cinghia con fibbia, cinghie sottogamba, nastri riflettenti e fischietto. 100N - Per l'uso in acque costiere, adatto anche a persone che non sanno nuotare, ma con abbigliamento leggero. Non adatto a persone senza conoscenza.;100N comfortable and wearable life jacket EN ISO 12402-4 certified for pleasure navigation within 6 miles from coast. Features: tear resistant fabric, zipper, belt with quick release buckle, bottom and crotch fastening strap, reflective patches and whistle. 100N - For use in coastal water, suitable even for non-swimmers but with light clothes. Not suitable for unconscious persons.
12859;10232;Cima Americana Gold;Americana Gold Line;"Cima da ormeggio e ancoraggio. ↵
Lavorazione in doppia torsione, 3 fusi di Poliestere alta tenacità. ↵
Non galleggia. daN carico di rottura in Kg";"3-strand double spun, high quality, abrasion resistant and high tenacity ↵
Polyester dock and anchor line. ↵
Non floating. daN breaking strength in Kg"
12862;10920;Asta Portabandiera Teak;Teak Flag Staff;Aste portabandiera in legno di Teak Birmano. Finitura naturale, durata eccezionale.;Burma Teak flag staff. Natural finishing with excellent durability.
12882;12876;Mini-Frigo C29M 12/24V;C29M Mini-Cooler 12/24V;"Mini-Frigo portatile con compressore Danfoss bitensione 12/24V. 
Temperatura interna regolabile tra +10° e -15°C. Consumo 48W.";"Portable Mini-Refrigerator with dual voltage 12/24V Danfoss compressor. 
Inner temperature can be adjusted between +10° and -15°C. Consumption 48W."
12883;12876;Frigo-Freezer C41L 12/24V;C41L Refrigerator/Freezer 12/24V;"Frigo/Freezer portatile con compressore Danfoss bitensione 12/24V. 
Temperatura interna regolabile tra +10° e -10°C. Consumo 43W.";"Portable Refrigerator/Freezer with dual voltage 12/24V Danfoss compressor. 
Inner temperature can be adjusted between +10° and -10°C. Consumption 43W."
12886;12876;Frigo-Freezer C65L 12/24V;C65L Refrigerator/Freezer 12/24V;"Frigo/Freezer portatile con compressore Danfoss bitensione 12/24V. 
Temperatura interna regolabile tra +10° e -20°C. Consumo 45W.";"Portable Refrigerator/Freezer with dual voltage 12/24V Danfoss compressor.  
Inner temperature can be adjusted between +10° and -20°C. Consumption 45W."
12888;12877;Congelatore Inox a Cassetto VF DW35;VF DW35 S/Steel Drawer Freezer;"Congelatore a cassetto con struttura esterna in Acciaio Inox. Compressore esterno 12/24V, consumo 40W. ↵

H  Altezza ↵
W  Larghezza ↵
L  Lunghezza";"Stainless Steel external casing drawer freezer. 12/24V external compressor, consumption 40W. ↵
H  Height ↵
W  Width ↵
L  Length"
12897;12894;Pompa Lavaggio Coperta Aqua Jet 3.5;Johnson Aqua Jet Deck Wash Pump 3.5;"Pompa Aqua Jet 3.5 completa di pistola e attacco tubo. 
Per lavaggio di ponti, tenders, sentine, automobili etc.";"Aqua Jet 3.5 pump complete with pistol nozzle and hose connection. 
For washing decks, tenders, bilges, cars etc.

"
12898;12894;Pompa Lavaggio Coperta Aqua Jet  5.2;Johnson Aqua Jet Deck Wash Pump Kit 5.2;"Kit pompa lavaggio Aqua Jet 5.2 completo di pistola, tubi, quadro comando e accessori. 
Per lavaggio di ponti, tenders, sentine, automobili etc.";"Aqua Jet 5.2 pump kit complete with pistol nozzle, hoses, control panel and accessories. For washing decks, tenders, bilges, cars etc.
"
12946;12945;Antenna VHF - Acciaio Inox - Sail;VHF Antenna - Stainless Steel - Sail;"Antenna VHF in Acciaio Inox per barche a vela. 
100W / 3db / 156/162 MHz / 50 Ohm. Altezza 0,9 m. 
Completa di staffa d'albero, connettore e passacavi.";"Stainless Steel VHF antenna for sailboats. 
100W / 3db / 156/162 MHz / 50 Ohm. Height: 0.9 m. 
With masthead bracket, connector and thru-deck wire seals."
12947;12945;Antenna VHF - Vetroresina - Sail;VHF Antenna - Fiberglass - Sail;"Antenna VHF in Vetroresina per barche a vela. 
100W / 3db / 156/162 MHz / 50 Ohm. Altezza 0,9 m. 
Complete di staffa d'albero, connettore e passacavi.";"Fiberglass VHF antenna for sailboats. 
100W / 3db / 156/162 MHz / 50 Ohm. Height: 0.9 m. 
With masthead bracket, connector and thru-deck wire seals."
12948;12945;Antenna VHF di Emergenza RA111;VHF Emergency Antenna - RA111 ;"Antenna VHF RA111 d'emergenza o da regata con cavo coassiale da 18 m. 
Altezza 14 cm. Completa di staffa per il montaggio.";"Regatta or emergency VHF RA111 antenna with 18 m coax cable. 
Height: 14 cm. Complete with mounting bracket. "
12949;12945;RA179 Wind Indicator;RA179 Wind Indicator;Indicatore vento RA179 per Antenne VHF serie RA 109 SLS e RA 109 GRP.;RA179 wind indicator suitable for RA 109 SLS and RA 109 GRP VHF antennas.
12953;3355;Kit Riparazione Gommoni;Inflatable Boat Repair Kit;Kit riparazione gommoni (adesivo + pezze + attrezzi). Per battelli in tessuto spalmato Neoprene o PVC.;Handy repair kit (Glue + Patches + Tools). For inflatable boats' fabric with Neoprene or PVC coating.
12954;3355;Kit Riparazione Mini;Mini Repair Kit;Mini Kit con adesivo e pezze per la riparazione di gonfiabili in PVC.;Glue and patches Mini Kit for repairs on PVC inflatables. 
12966;3548;Moschettone da Fiocco Chiuso MTM;MTM Closed End Jib Snap Hook;Moschettone da fiocco chiuso in Acciaio Inox AISI 316 di grado superiore.Controllo e finitura per il duro uso in mare. Fornito su elegante Card da esposizione. Testato e garantito nel carico di lavoro (WL). Il carico di rottura (BL) è 4 volte il carico di lavoro.;"High quality AISI 316 Stainless Steel closed end jib snap hook. Outstanding quality control and finish for the most rugged use in sea water. Supplied on elegant presentation card. 
Working Load (WL) tested and guaranteed. Breaking Load (BL) is 4 times Working Load."
12967;3548;Moschettone Spi Occhio Fisso MTM;MTM Fixed Eye Spi Snap Shackle;Moschettone da spi in Acciaio Inox AISI 316 di grado superiore. Controllo e finitura per il duro uso in mare. Fornito su elegante Card da esposizione. Testato e garantito nel carico di lavoro (WL). Il carico di rottura (BL) è 4 volte il carico di lavoro.;"High quality AISI 316 Stainless Steel fixed eye spi snap shackle. 
Outstanding quality control and finish for the most rugged use in sea water. Supplied on elegant presentation card. Working Load (WL) tested and guaranteed. Breaking Load (BL) is 4 times Working Load."
12968;3548;Moschettone Spi Occhio Girevole MTM;MTM Swivel Eye Spi Snap Shackle;Moschettone girevole da spi in Acciaio Inox AISI 316 di grado superiore. Controllo e finitura per il duro uso in mare. Fornito su elegante Card da esposizione. Testato e garantito nel carico di lavoro (WL). Il carico di rottura (BL) è 4 volte il carico di lavoro.;"High quality&nbsp;316 Stainless Steel swivel eye spi snap shackle. 
Outstanding quality control and finish for the most rugged use in sea water. Supplied on elegant presentation card. 
Working Load (WL) tested and guaranteed. Breaking Load (BL) is 4 times Working Load."
12993;3947;Bottoni Girevoli in Blister;Canvas Turn Clasps Blister;Confezione di bottoni girevoli inossidabili completi di viti e attrezzo per il montaggio.;Stainless turn clasps pack. Screws and mounting tools included.
12994;3952;2 Bottoni Loxx in Blister;2 Buttons Loxx Blister;Confezione da 2 bottoni automatici Loxx in Ottone Cromato Nichelato. ↵La confezione comprende le viti e la chiavetta di serraggio.;"Chromed Nickel Brass automatic Loxx 2 buttons blister. ↵
With screws and mounting tool included."
12995;3969;Occhielli in Blister;Canvas Eyelets Blister;Confezioni di occhielli inossidabili completi di attrezzatura per il montaggio.;Eyelets blister with mounting tools included.
12996;3969;Bottoni a Pressione in Blister;Canvas Snap Buttons Blister;"Confezione di bottoni a pressione inossidabili completi di viti e di attrezzatura per il montaggio. 
Diametro bottoni 15 mm e foro vite da 4 mm. ";"Stainless snap buttons in a pack with screws and mounting tools included. 
Buttons diameter: 15 mm. Screw hole: 4 mm."
12999;10027;Chain Lock Inox;Stainless Steel Chain Lock;Ferma catena da ancoraggio in Acciaio Inox. Preserva il verricello da colpi e shock. Evita lo scavallamento della catena dal barbotin. Annulla la trasmissione di noiose vibrazioni dovute al movimento dell'imbarcazione all'ancora.;"Stainless Steel anchor chain stopper preserves from shocks and bumps the windlass while anchoring, eliminating the transmission of annoying vibrations of the rolling anchored boat. It avoids the chain from stepping over the gypsy.

"
13001;13000;Parapoppa Stern Safe;Safe Stern Guard;"Parabordo studiato per proteggere la poppa delle barche a vela. 
Si accoppia perfettamente ad ogni tipo di poppa da 60&lt;&gt;75° oppure da 75&lt;&gt;90°. 
Massa in Poliuretano resistente e morbido per il massimo assorbimento degli urti più violenti (non si sgonfia, non contiene aria). 
La particolare forma e il foro passacima assicurano il fissaggio e la tenuta su ogni barca.";"Fender designed for sailing boats transom protection. 
Matches perfectly any stern type 60&lt;&gt;75° or 75&lt;&gt;90°. 
Sturdy and soft Polyurethane mass for optimal shock absorbtion (it doesn't deflate, does not contain air). 
The special shape and the line hole ensures great holding on any boat.
"
13004;13000;Paraprua PVM1;PVM1 Bow Guard;"Paraprua/poppa specifico per barche a vela e catamarani, protezione totale quando si salpa l'ancora e quando si deve ormeggiare di prua o di poppa. 
Massa in Poliuretano resistente e morbido per il massimo assorbimento degli urti più violenti (non si sgonfia, non contiene aria). 
Con due fori passacima per un fissaggio sicuro a prua.";"Transom/bow guardfender for sailing boats and catamarans, great protection when weighing the anchor or for bow and stern berthing. 
Sturdy Polyurethane mass for optimal shock absorbtion (it doesn't deflate, does not contain air). 
Two line eyelets for a safe bow fix.


"
13007;3623;Copricrocette Ocean;Ocean Spreaders Covers;"Copricrocette in morbido e flessibile Poliuretano per crocette da 100 a 360 mm di circonferenza. L'imbottitura a spessore assorbe urti anche importanti con barche affiancate. Corredate di fascette in nylon per un facile montaggio. Venduti in coppia.
";"The unique flexible Polyurethane design fits all spreaders from 100 to 360 mm circumference. It also provides perfect protection against knocks from spreaders of neighbouring boats in case of rolling. Easy to fit with included nylon fasteners. Sold in pairs.
"
13008;3623;Copri Candeliere Sail Defender;Sail Defender Stanchion Cover;"Il copricandeliere protegge il genoa dal costante sfregamento sui candelieri. In morbido Poliuretano, si applica ad ogni tipo di candeliere con draglia in linea. 2 bottoni automatici assicurano una perfetta tenuta. Confezione da 4 pezzi.
";"Solid Polyurethane cushion. It protects the genoa from the constant rubbing on the turnbuckle between the dredge and the pulpit Easy fitting on the stanchion with two included nylon clips to provide a perfect hold.&nbsp;4 pieces packs."
13009;3623;Copri Draglie Sail Defender;Sail Defender Lifeline Cover;"Il copridraglie protegge il genoa dal costante sfregamento sull'arridatoio fra draglia e pulpito. In morbido Poliuretano, si applica ad ogni tipo di pulpito con draglia in linea. ↵5 bottoni automatici assicurano una perfetta tenuta. Venduti in coppia.
";"Solid Polyurethane cushion protects the genoa from the constant rubbing on the turnbuckle between the dredge and the pulpit.&nbsp;It can be applied to any kind of pulpit with coaxial lifeline in an easy and rapid way. Includes five nylon clips which provide a perfect hold in any condition. Sold in pairs.
"
13012;13000;Paraprua Classico;Bowbuoy;Paraprua in robusto PVC con tre fori di attacco rinforzati.;Rugged PVC bowbuoy with three reinforced eyelets.
13013;13000;Paraprua in Acciaio Inox;Stainless Steel Bow Plate;Paraprua in Acciaio Inox leggero e resistente, modellabile manualmente e facile da applicare grazie alle linee di piegatura.;"Easy to mount light and resistant Stainless Steel plate bow guard. 
Can be easily moulded by hand due to the splits cut. "
13015;11902;Profili Paracolpi In PVC;PVC Dock Fender;"Profili paracolpi da 3 metri in PVC per banchine, pontili e protezioni in genere. 
Materiale a bassissimo coefficiente d'attrito e alta resistenza all'impatto. A differenza della gomma, il PVC non marca il gel-coat dell'imbarcazione. Si applica singolarmente o in multipli.


Per il montaggio: Inserire un piatto di Alluminio o Ferro Zincato industriale di 30x5 mm e forare il tutto per introdurre le viti di fissaggio.";"3 Meters long fendering profiles for docks, pontoons and general purpose protection. 
Produced from high impact resistance PVC with a very low friction coefficient, it does not mark the boat's gel-coat as intsead the rubber does. It can be set individually or in multiples. Fixing: insert a 30x5 mm Aluminum or a Zinc-plated plate and pierce to introduce the fixing screws."
13017;10618;Set Lucchetti 4+1 Hardinox Master Key;Padlock Set 4+1 Hardinox Master Key;"Set di 5 lucchetti Hardinox da 30 mm (4 lucchetti standard + 1 lucchetto long). 
Chiave universale per tutti i lucchetti, fornita in coppia per ogni lucchetto.";"Set of 5x30 mm Hardinox padlocks (4 standard padlocks + 1 long padlock). 
Universal key for all padlocks, provided in pairs for each padlock.
"
13021;5960;Servizio Posate Inox 18/10;Stainless Steel 18/10 Cutlery Set;"Servizio da 24 posate per 6 persone, in Acciaio Inossidabile 18/10 di perfetta finitura. ↵
6 coltelli ↵
6 forchette ↵
6 cucchiai da zuppa ↵
6 cucchiaini da tè";"Perfect finishing 18/10 Stainless Steel 24 pcs cutlery set for 6 persons. ↵
6 Table knives;&nbsp;↵
6 Table forks;&nbsp;&nbsp;↵
6 Table spoons;&nbsp;↵
6 Tea spoons."
13027;13026;Cerniera Classica per Portelli;Classic Hinge for Hatches;"Cerniera classica in Acciaio Inox AISI 316 lucidato a specchio con base coperta. Per boccaporti e portelli.
";Mirror-Polished 316 Stainless Steel base covered classic hinge for hatches. 
13028;13026;Cerniera Eccentrica per Portelli;Eccentric Hinge for Hatches;"Cerniere offset in Acciaio Inox AISI 316 lucidato a specchio per boccaporti e portelli collo alto.


";"Mirror-Polished 316 Stainless Steel offset hinge for big spigot hatches. 



"
13029;10429;Anello su Piastra 3 Fori H.D.;3 Holes Extra Eye Plate;"Piastra a 3 fori con anello in Acciaio Inox da fusione. 
Finitura e qualità eccezionali.";"Casted 3 holes Stainless Steel&nbsp;ring eye plate. 
Outstanding quality and finishing. "
13030;13026;Cerniera Offset Bassa;Low Offset Hinge;"Cerniera a sbalzo basso in Acciaio Inox per boccaporti e portelli.

";"Stainless Steel low offset hinge for hatches. 

"
13031;13026;Cerniera Offset Alta;High Offset Hinge;"Cerniera a sbalzo alto in Acciaio Inox per boccaporti e portelli.
";Stainless Steel high offset hinge for hatches. 
13032;13026;Cerniera Offset Nervata Bassa;Low Offset Stamped Hinge;"Cerniera a sbalzo basso in Acciaio Inox stampato per boccaporti e portelli.
";Stamped Stainless Steel low offset hinge for hatches. 
13033;13026;Cerniera Offset Nervata Alta;High Offset Stamped Hinge;"Cerniera a sbalzo alto in Acciaio Inox stampato per boccaporti e portelli.
";Stamped Stainless Steel high offset hinge for hatches. 
13034;10625;Cerniera Eccentrica  S;Eccentric Hinge S;"Cerniera eccentrica piccola in Acciaio Inox Extracrome. ↵
Standard  Perno Superiore ↵Reverse  Perno Inferiore";"Mirror-Polished Stainless Steel small eccentric hinges. ↵
Standard  Upper Hingepin ↵Reverse  Lower Hingepin
"
13035;10625;Cerniera Eccentrica M;Eccentric Hinge M;Cerniera eccentrica media in Acciaio Inox Extracrome.;"Mirror-Polished Stainless Steel medium eccentric hinge.
"
13036;10625;Cerniera Eccentrica R;Eccentric Hinge R;"Cerniera eccentrica media senza spigoli in Acciaio Inox Extracrome. ↵
Standard  Perno Superiore ↵
Centerpin  Perno Centrale ";"Smooth edges Mirror-Polished Stainless Steel medium eccentric hinges. ↵
Standard  Upper Hingepin ↵
Centerpin  Central Hingepin "
13037;10625;Cerniera Eccentrica L;Eccentric Hinge L;Cerniera eccentrica grande in Acciaio Inox Extracrome.;"Mirror-polished Stainless Steel large eccentric hinge.
"
13038;10625;Cerniere Oval Standard;Oval Standard Hinge;Cerniere ovali in Acciaio Inox Extracrome.;"Mirror-Polished Stainless Steel oval hinges.
"
13039;10625;Cerniere Oval Extra;Oval Extra Hinge;Cerniere ovali in Acciaio Inox Extracrome.;"Mirror-Polished Stainless Steel oval hinges.
"
13040;10436;Anello a D con Barra;Dee Ring with Bar;Anello a D con barra in Acciaio Inox.;Stainless Steel Dee ring with bar.
13046;11018;Sedile Fronte-Retro;Front-Back Seat;"Sedile imbottito, rivestito in Skay marino. 
Lo schienale può essere posizionato fronte o retro, permettendo così una doppia posizione di guida e di lavoro.";"Upholstered seat with marine grade Skay covering. 
The backrest can be positioned front or back, allowing a driving and working mode position."
13048;11018;Poltroncina Ocean 52 Flip-Op;Ocean 52 Flip-Op Seat;"Sedile poltroncina imbottito con scocca in Polietilene. 
Rivestito in Skay marino. 
Parte della seduta può essere elevata in modo da favorire il pilotaggio in piedi con appoggio lombare.";"Polyethylene shell offshore upholstered seat. 
Marine grade Skay covering. 
The seat may be lifted to allow standing drive mode with back rest."
13049;11018;Poltroncina Ocean 53 Flip-Op;Ocean 53 Flip-Op Seat;"Sedile poltroncina imbottito con scocca in Polietilene. 
Rivestito in Skay marino. 
Parte della seduta può essere elevata in modo da favorire il pilotaggio in piedi con appoggio lombare.";"Polyethylene shell offshore upholstered seat. 
Marine grade Skay covering. 
The seat may be lifted to allow standing drive mode with back rest."
13050;11033;Supporto Sedile Regolabile Ocean;Ocean Adjustable Seat Pedestal;"Supporto sedile Ocean in Alluminio Anodizzato con altezza regolabile manuale. 
Testa girevole con slitta avanti-indietro. Elegante e molto robusto, attacco universale per tutti i sedili.";"Anodized Aluminum Ocean seat pedestal with manual height adjustment. 
Swivel mount top and sliding system. Elegant and very sturdy, universal mount for all seats.

"
13052;4990;Filtro Separatore SACS 4121512;SACS Fuel/Water Separator Filter 4121512;Filtro benzina con coppa trasparente per motori fuoribordo. ↵Completo di cartuccia da 10 micron con tecnologia AquaStop e raccordi in Ottone.;Clear bowl gasoline filter for outboard engines. ↵Complete with 10 micron Aquastop element and Brass fittings.
13054;4990;Cartuccia Universale Sacs AquaStop M1;Sacs M1 Universal AquaStop Filter Element;Cartuccia da 10 micron per filtri benzina di motori fuoribordo e entrobordo. ↵ Alta qualità - Alte prestazioni - Alta efficienza nel separare l'acqua dalla benzina.↵Può sostituire le cartucce: Quicksilver 35-809097 / Racor S3213 / Sierra 18-7919.;"Outboard and inboard engines gasoline 10 micron filter element. ↵
High quality - High performance - High efficiency in separating water from gasoline.↵
Can replace filter elements: Quicksilver 35-809097 / Racor S3227 / Sierra 18-7919."
13055;11018;Sedile Eltex Marine;Eltex Marine Seat;"Sedile chiudibile tipo Marine in robusto Polietilene. 
Solido e resistente, senza manutenzione. 
Si può completare con cuscineria.";"Resistant Marine type Polyethylene folding seat. 
Tough and strong, completely maintenance free. 
Can be completed with cushions for better seat comfort."
13056;11227;Presa d'Aria in Plastica Griglia Grande;Big Plastic Louvered Vent;Presa d'aria/griglia grande in Plastica.;Big Plastic air vent.
13057;11227;Prese d'Aria in Plastica Griglie Modulari;Plastic Modular Louvered Vent;Prese d'aria/griglie Modulari in Plastica. Facilmente aggiungibili.;Modular Plastic air vent. Easy add-on mounting.
13059;11157;Guarnizioni MTM 25;MTM 25 Seals;"Guarnizioni in Gomma EPDM espansa. 
Materiale di estrema qualità per interni ed esterni, 
resistente all' Ozono ed agli agenti atmosferici. 
Per la tenuta di oblò, osteriggi, finestrature e porte. 
Confezione da 25 metri.";"EPDM Rubber marine adhesive strips. 
Extremely high quality material, perfect for both internal and external sealing. 
Ozone and weather resistant. 
For hatch, port and door sealing. 
25 meters Pack."
13060;11157;Guarnizioni Jim Black;Jim Black Seals;"Guarnizioni autoadesive in Gomma EPDM espansa. 
Materiale di estrema qualità per interni ed esterni, 
resistente all' Ozono ed agli agenti atmosferici. 
Per la tenuta di oblò, osteriggi, finestrature e porte (Jim Black). 
Confezione da 1,80 metri.";"EPDM Rubber marine adhesive strips. 
Extremely high quality material, perfect for both internal and external sealing. 
Ozone and weather resistant. 
For hatch, port and door sealing (Jim Black). 
1.80 meters Pack."
13061;1517;Scalda Acqua Johnson Marine Boiler;Johnson Marine Boiler Water Heater;"Scalda Acqua Johnson Marine Boiler in Acciaio Inox AISI 316 costruiti per impiego nautico. 
Funzionano con resistenza elettrica 500W-220V per uso in banchina o con generatore oppure, con un esclusivo sistema, con il calore ceduto dal circuito di raffreddamento del motore. 
Piedini di fissaggio regolabili a 360° per una installazione semplice.";"316 Stainless Steel Johnson Marine Boiler water heater designed for marine use. 
Works at shoreside or using a generator at 500W-220V electric resistance or, thanks to a special system, with engine's cooling circuit heat. 
360° adjustable fixing feet for easy installation."
13062;1498;Climatizzatori MACS Compact 12000/16000;MACS Compact 12000/16000 Air Conditioner;"Climatizzatori MACS completi per il montaggio, adatti per il condizionamento 
di un ambiente singolo o di due ambienti adiacenti anche grandi. 
Struttura monoblocco comprendente compressore, condensatore, evaporatore e 
ventilatore, specifica per installazione a bordo, con movimentazione dell’aria 
in condotte isolate e distribuzione della stessa in ambiente tramite griglie. 
Gruppo compressore ed evaporatore precaricato, non richiede particolari attrezzi 
per essere installato. Funziona come condizionatore (aria fredda) e come 
riscaldatore (aria calda). Per uso in banchina o con generatore di corrente. 
Completi di tubo 10 m, scarico, filtro, pompa e presa acqua mare, di pannello e 2 valvole a sfera, di griglia aspirazione e mandata aria, di plenum mandata aria e divisione flusso, di tubazione aria principale e secondaria.  ";"Air-condition system ready to mount kit which can cover one or two even big neighbouring rooms. 
Monobloc system complete with compressor, condensator, evaporator and vent, designed for onboard installation, with isolated ducts and distribution grids air handling. 
Compressor and evaporator are charged and they don't need special hardware to be mounted. 
Works as air-conditioner (cold air) and as heater (hot air). 
It can be used only at shorepower or with generator. 
Complete with salt water line hose, mushroom head, filter, pump and dip, with panel and 2 ball valves, with inlet, distribution and flux division grids, with 10 m main and secondary air ducts."
13069;11433;Spot 2x1 Inox Power LED;2x1 S/Steel Power LED Spot Light;"Faretto Power-LED 12/24V in Acciao Inox. Montaggio a incasso e anche a superficie con cornice H20 mm in dotazione. Consumo ridotto 3W e massima durata.&nbsp;↵Luce bianca calda 3000 K°.";"12/24V Power-LED Stainless Steel spot light. Flush or surface mount with H20 mm included frame. Reduced consumption 3W and long life.&nbsp;↵3000 K° warm white light."
13075;11433;Spot Satin Slim Power LED;Satin Slim Power LED Spot Light;"Faretto LED 12V a incasso con base e cornice in Alluminio satinato.&nbsp;Molto sottile con incasso di soli 10 mm. Consumo ridotto 3,4W e massima durata.&nbsp;↵Luce bianca calda 3000 K°.";"Satin Aluminum frame and base flush 12V LED spot light.&nbsp;↵Very thin, recessed only 10 mm. Reduced consumption 3.4W and long life.&nbsp;↵3000 K° warm white light."
13077;11433;Plafoniera Compact 3 LED;Compact 3 LED Ceiling Light;"Plafoniera compatta LED 12V a incasso in Plastica Bianca. Montaggio anche a superficie con anello H20 mm in dotazione. Consumo ridotto 0,9W e massima durata.&nbsp;↵Luce bianca calda 3000 K°.";"White Plastic body 12V LED compact flush mount dome light. Can be surface mounted with H20 mm endowed frame. Reduced consumption 0.9W and long life.&nbsp;↵3000 K° warm white light."
13081;12525;Luce di Cortesia LED-12V Flush Clear;LED-12V Courtesy Light Flush Clear;Luce di cortesia LED a incasso con corpo in Plastica trasparente. Luce intensa, minimi consumi e massima durata. Luce bianca fredda 6000 K°.;Clear Plastic body LED flush mount courtesy light. Bright light, low consumption and long life. Cold white light 6000 K°.
13082;12525;Luci di Cortesia LED-12V Mignon;LED-12V Mignon Courtesy Lights;Luci di cortesia in Plastica Bianca con 2 LED indirizzati in basso (la prima) e in orizzontale (la seconda). Luce intensa, minimi consumi e massima durata.;White Plastic body 2 LED courtesy lights. The first LED has the light emitted down and the second one horizontally. Bright light, low consumption and long life.
13083;12525;Faretto di Cortesia LED-12V Mignon;LED-12V Mignon Courtesy Spots;"Faretto di cortesia LED ruotabile con corpo in Plastica Bianca. 
Luce intensa, minimi consumi e massima durata.";"White Plastic rotating LED courtesy spot. 
Bright light, low consumption and long life."
13086;1672;Valvola non Ritorno Johnson;Johnson Check Valve;"Valvola di non ritorno in Plastica Johnson. Mantiene l'adescamento nei tubi di aspirazione. Facile manutenzione e pulizia senza l'utilizzo di attrezzi.
";"Johnson Plastic check valve. 
It maintains priming in suction pipes. 
In line mount, maintenance and cleaning without using any tools."
